month,orders,net_revenue,aov,gross_margin,return_rate
2024-01,1374,371381.6,277.77,156481.55,0.0643
2024-02,1315,368193.74,285.64,155573.66,0.0729
2024-03,1424,382697.6,274.53,161785.9,0.071
2024-04,1411,380326.93,277.21,159474.72,0.0671
2024-05,1605,447789.91,285.4,192160.41,0.0605
2024-06,1663,452097.59,277.53,191815.82,0.0694
2024-07,1575,434043.44,283.32,183312.35,0.0757
2024-08,1539,404843.36,271.16,167941.69,0.0743
2024-09,1537,423048.15,282.03,181135.42,0.0693
2024-10,1588,433520.58,280.41,185380.81,0.066
2024-11,2157,576370.45,274.07,246517.78,0.067
2024-12,2246,612017.35,280.36,261448.62,0.0705
2025-01,1653,448844.43,277.92,188843.81,0.0743
2025-02,1558,429932.48,282.48,184882.47,0.0598
2025-03,1740,470037.05,277.14,200648.99,0.0649
2025-04,1732,469445.19,278.27,198812.14,0.0658
2025-05,1924,529124.64,282.05,227068.06,0.0677
2025-06,1959,529034.83,277.71,223200.99,0.0709
